depictedLabel;common
Grey Partridge;Grey Partridge
Eurasian Eagle-owl;eurasian eagle owl
Eurasian Eagle-owl;Eurasian Eagle-owl
Eurasian Eagle-owl;Northern Eagle Owl
house cat;Cat
Centaurea cyanus;Cornflower
dog;Dog
Allium cepa;garden onion
Pyrus;pear
Allium ascalonicum;wild onion
bird;birds
asparagus;garden asparagus
Eurasian Jay;Jay
Rubus fruticosus;blackberry, bramble
Rubus fruticosus;shrubby blackberry
Common Starling;Common Starling
Common Starling;European Starling
Cynara scolymus;globe artichoke
Brassica oleracea var. botrytis;broccoli
Common Starling;Starling
Black Grouse;Black Grouse
Syringa;lilac
Syringa vulgaris;Common Lilac
Eurasian Jay;Eurasian Jay
asparagus;wild asparagus
Common Kingfisher;Kingfisher
Common Kingfisher;Common Kingfisher
Common Kingfisher;European Kingfisher
Brassica oleracea var. botrytis;cauliflower
European Green Woodpecker;Eurasian Green Woodpecker
European Green Woodpecker;European Green Woodpecker
European Green Woodpecker;green woodpecker
Sus scrofa;Wild Boar
tulip;tulip
Solanum melongena;brinjal
Sorbus;mountain ash
Sorbus;Rowan
Sorbus;Service-tree
Sorbus;Whitebeam
Leucanthemum vulgare;ox-eye daisy
Leucanthemum vulgare;oxeye daisy
tomato;garden tomato
Paeonia;peony
Papaver;poppy
celery;wild celery
Viola;violet
Ranunculus;buttercup
Ranunculus;`awa Kanaloa genus
Ranunculus;buttercup genus
Ranunculus;crowfoot genus
Ranunculus;makou genus
Atlantic herring;Protestant
Atlantic herring;Melker
Atlantic herring;herring
pig;Domestic pig
Atlantic herring;Red Herring
Atlantic herring;Atlantic herring
Atlantic herring;Bank Herring
Atlantic herring;Bismark Herring
Atlantic herring;Bloater
Atlantic herring;Cleanplate Herring
Atlantic herring;Cut spiced Herring
Atlantic herring;Fall Herring
Atlantic herring;Golden Cure
Atlantic herring;Hern
Atlantic herring;Herning
Atlantic herring;Herron
Atlantic herring;Kipper Herring
Atlantic herring;Klondyked Herring
Atlantic herring;Labrador Herring
Atlantic herring;Matje Cured Herring
Atlantic herring;Mediterranean Cure
Atlantic herring;Mesh Herring
Atlantic herring;Milker Herring
Atlantic herring;Murman Herring
Atlantic herring;Mustard Herring
Atlantic herring;Newcastle Kipper
Atlantic herring;Norwegian Cured Herring
Atlantic herring;Norwegian Herring
Atlantic herring;Norwegian Milker
Atlantic herring;Norwegian Silver Herring
Atlantic herring;Norwegian Sloe
Atlantic herring;Oriental Cure
Atlantic herring;Pickled Herring
Atlantic herring;Pickling
Atlantic herring;Sea Atlantic Herring
Atlantic herring;Sea Herring
Atlantic herring;Sea Stick
Atlantic herring;Shore Herring
Atlantic herring;Sild
Atlantic herring;Silver Cured Herring
Atlantic herring;Soused Herring
Atlantic herring;Split Cure Herring
Atlantic herring;Spring Herring
Atlantic herring;Sugar Cured Fish
Atlantic herring;Summer Herring
Atlantic herring;Whitebait
Atlantic herring;Yawling
Atlantic herring;Split
Atlantic herring;Mattie
Atlantic herring;Kipper
Atlantic herring;Pearl Essence
Mimosa;sensitive plant
Lepidoptera;lepidopteran
Lepidoptera;Butterflies and Moths
Crataegus;hawthorn
Dahlia;dahlia
insect;insects
Begonia;begonia
Gladiolus;gladiolus
kohlrabi;kohlrabi
rhubarb;Rhubarb
Eurasian Bittern;Eurasian Bittern
Chrysanthemum;daisy
rhubarb;garden rhubarb
horse;horse
peach;peach
Citrus medica;citron
European Goldfinch;European Goldfinch
Iris;blackberry-lily
Iris;iris
strawberries;strawberry
Nautilus pompilius;chambered nautilus
Eurasian Bullfinch;bullfinch
Eurasian Bullfinch;Eurasian Bullfinch
Eurasian Woodcock;Eurasian Woodcock
Bohemian Waxwing;Bohemian Waxwing
Grey Heron;Grey Heron
mallard;Common Mallard
mallard;mallard
mallard;Northern Mallard
Turdus;Thrush
Bohemian Waxwing;waxwing
Brachyura;True Crabs
Anisoptera;Dragonflies
Dianthus caryophyllus;carnation
Dianthus caryophyllus;clove pink
Fritillaria;fritillary
Dianthus;pink
Galanthus nivalis;Snowdrop
Galanthus nivalis;Bucaneve
Galanthus nivalis;common snowdrop
Galanthus nivalis;Flower of Hope
Caridea;Caridean shrimps
housefly;house fly
Caridea;carideans
Ostrea edulis;Native oyster
mandarin orange;tangerine
Cucurbita maxima;Buttercup Squash
Cucurbita maxima;Winter Pumpkin
Cucurbita maxima;winter squash
Anemone;anemone
Rosa;rose
Coccinella undecimpunctata;11-spot ladybird
Aglais io;Peacock butterfly
Aglais io;peacock
mandarin orange;Mandarin orange
Geraniaceae;Geranium family
Geraniaceae;Storksbill family
fuchsia;lady's eardrops genus
fuchsia;fuchsia
Citrus Ã— sinensis;sweet orange
Cucumis;Cucumber
Cucumis;Gerkin
Cucumis;melon
Cucumis;Zucchini
Jasminum;jasmine
Anura;anuran
Anura;frog
Beta;beet
Northern Lapwing;Lapwing
Northern Lapwing;Northern Lapwing
Lonicera;honeysuckle
monkey;Monkey
Common Pheasant;Common Pheasant
roe deer;Roe Deer
roe deer;European Roe
roe deer;European Roe Deer
roe deer;roe deer, western roe deer
roe deer;Western Roe Deer
Lilium candidum;Madonna lily
common carp;Common carp
common carp;common carp, carp
common carp;Wild Common Carp
Eurasian Sparrowhawk;Eurasian Sparrowhawk
Akelei;columbine
Crocus;crocus
Hyacinth;Hyacinth
maize;Indian Corn
maize;Corn
maize;corn,
maize;Teosinte
maize;Maize
Cyclamen;cyclamen
Cyclamen;Sowbread
Homarus gammarus;Common lobster
Homarus gammarus;European Lobster
Gloxinia;gloxinia
Peregrine Falcon;Peregrine Falcon
Red-legged Partridge;Red-legged Partridge
goat;Goat
Guinea-pig;Domesticated Guinea Pig
goat;Domestic Goat
common sunflower;common sunflower
common sunflower;sunflower
Punica granatum;Pomegranate
fox;Fox
Cucumis sativus;garden cucumber
Primula vulgaris;primrose
Ananas;Pineapples
European Rabbit;European Rabbit
Vitis;grape
Ananas;pineapple
Silene acaulis;moss campion
Silene acaulis;moss champion
Leptarrhena pyrolifolia;fireleaf leptarrhena
Zinnia;zinnia
Reptilia;Reptiles
Malus pumila;paradise apple
Malus pumila;apple
Malus pumila;domestic apple
elephant;Elephant
Citrus;citrus
Artemisia michauxiana;Michaux's wormwood
Nephrops norvegicus;Norway Lobster
Capsicum annuum;cayenne pepper
Geranium;Crane's-bills
Capsicum annuum;pepper
Juglans regia;Persian Walnut
Prunus armeniaca;apricot
Ficus carica;Fig
Formicidae;ants
Papaver rhoeas;Common Poppy
Papaver rhoeas;corn poppy
Lepus;hare
Araneae;Spiders
bees;bee
Scarabaeoidea;scarabaeoids
Beta vulgaris;common beet
Ribes;currant
Tropaeolum;nasturtium
Sardina pilchardus;European Pilchard
Sardina pilchardus;Fair Maid
Sardina pilchardus;pilchard
Sardina pilchardus;Sardine
Sardina pilchardus;Soused Pilchards
Sardina pilchardus;True Sardine
Homarus;True Lobsters
Juncus rigidus;Rush
Juncus rigidus;Sea Rush
mangosteen;mangosteen
Brassica oleracea;Wild Mustard
Phasmatodea;Walkingsticks
Brassica oleracea;cabbage
European Robin;European Robin
Leucanthemum;daisy
European Robin;Robin
Eurasian Hoopoe;Eurasian Hoopoe
Juglans;walnut
Cucumis melo;melon
animal;animal
Odonata;Odonata
Lilium;lily
Primula;primrose
Brown Hare;Brown Hare
Prunus dulcis;sweet almond
Primula;cowslip
Magnolia grandiflora;Big-laurel
Magnolia grandiflora;Bull-bay
Magnolia grandiflora;Evergreen Magnolia
Magnolia grandiflora;southern magnolia
Nigella;Devil-in-a-bush
Columbidae;Pigeons and Doves
Eurasian Magpie;Eurasian Magpie
Lupinus;Lupin
Brassica;cabbage
Brassica;mustard
lettuce;garden lettuce
Ribes uva-crispa;gooseberry
Ribes uva-crispa;European gooseberry
Cupressus sempervirens;Italian cypress
Cupressus sempervirens;Mediterranean Cypress
Ficus;fig
Phlox;phlox
Alcea;hollyhock
Hyacinthoides non-scripta;Common Bluebell
Hyacinthoides non-scripta;English bluebell
Convallaria majalis;Lily-of-the-valley
Pinus pinea;Stone Pine
Althaea officinalis;common marshmallow
Althaea officinalis;marsh-mallow
Althaea officinalis;Marshmallow
strawberry;Garden strawberry
Cucurbita;gourd
house mouse;House mouse
Fritillaria imperialis;imperial fritillary
Clouded Border;clouded border
Convolvulaceae;Morning-glory Family
true rats;Rat
Eurasian Golden Oriole;Eurasian Golden Oriole
Calla palustris;water arum
Budgerigar;Budgerigar
Common Wood Pigeon;Common Wood Pigeon
Common Wood Pigeon;Common Woodpigeon
Common Wood Pigeon;Wood Pigeon
Common Wood Pigeon;Woodpigeon
Bellis perennis;lawn-daisy
Calla palustris;bog arum
Bellis perennis;Daisy
Ilex;holly
Abraxas grossulariata;magpie
Common Buzzard;common buzzard
Common Buzzard;Eurasian Buzzard
Clytus arietis;Wasp beetle
Melolontha melolontha;cockchafer maybeetle
Melolontha melolontha;Common cockchafer
Salmo trutta;Brown Trout
Salmo trutta;Sea Trout
Migrant Hawker;migrant hawker
Grey Crowned Crane;Grey Crowned Crane
Grus antigone;Sarus Crane
Red-breasted Goose;Red-breasted Goose
Muscovy Duck;Muscovy Duck
Common Shelduck;Common Shelduck
Greater Flamingo;greater flamingo
Piper nigrum;black pepper
Cydonia oblonga;quince
Magnolia;magnolia
potato;Russian Potato
potato;potato
Vanessa atalanta;Red Admiral
garlic;cultivated garlic
Aesculus hippocastanum;Horse-chestnut
Rosa Ã— centifolia;cabbage rose
Papaver somniferum;Opium Poppy
Calendula officinalis;pot marigold
Passiflora;passionflower
Alcea rosea;hollyhock
Fragaria vesca;wild strawberry
Mespilus germanica;medlar
Ribes nigrum;black currant
Ribes nigrum;European black currant
Coregonus hoyi;Bloater
Indian peafowl;Asiatic peafowl
Indian peafowl;Common peafowl
Indian peafowl;Indian peafowl
Indian peafowl;Peafowl
Carduus;plumeless thistle
Electrophorus electricus;Electric eel
Pisum;pea
Camellia japonica;camellia
Erysimum cheiri;Aegean wallflower
Erysimum cheiri;wallflower
Erica;heath
Leuciscus cephalus;Chub
Rutilus rutilus;roach
Brimeura duvigneaudii;Hyacinth
Red squirrel;Eurasian Red Squirrel
Red squirrel;Red squirrel
Cygnus;Swan
Ipomoea purpurea;tall morning-glory
wolf;Grey Wolf
Citrullus lanatus;watermelon
Passiflora andina;Passion flower
Galanthus;Snowdrop
Common Blackbird;Common Blackbird
Common Blackbird;Eurasian Blackbird
pike;pike
Helleborus;hellebore
Helleborus niger;black hellebore
Helleborus niger;Christmas Rose
Cattleya forbesii;Forbes' Cattleya
Helleborus;Christmas-rose
pike;Northern Pike
Helleborus niger;Christmas-rose
Rhododendron;rhododendron
Common Blackbird;Blackbird
Tagetes;marigold
Mountain Hare;Arctic Hare
Mountain Hare;Blue Hare
Mountain Hare;Mountain hare
Common Kestrel;Common Kestrel
Common Kestrel;Eurasian Kestrel
Common Kestrel;Kestrel
Common Kestrel;kestrel, common kestrel
Lunaria annua;annual honesty
Lunaria annua;honesty
beetles;Beetles
beetles;coleopteran
Arctium;burdock
Scorzonera hispanica;black salsify
haddock;haddock
Hydrangea;hydrangea
